brand,model,year,price_per_day,capacity,transmission,city,fuel_capacity
Kia,Sportage,2015,135,4,manual,Telavi,55
Audi,A3,2013,174,4,auto,Batumi,50
Hyundai,Tucson,2019,185,7,auto,Batumi,50
Ford,Focus,2020,148,5,auto,Telavi,55
Audi,Q5,2015,182,5,auto,Zugdidi,60
Toyota,Corolla,2019,79,4,manual,Tbilisi,45
Mercedes,GLA,2010,54,5,auto,Batumi,50
Kia,Sportage,2014,57,7,manual,Batumi,45
Audi,A4,2010,150,5,auto,Batumi,40
Toyota,Camry,2010,184,7,auto,Batumi,45
Hyundai,Elantra,2010,195,7,manual,Rustavi,60
Hyundai,Tucson,2020,72,4,tiptronic,Zugdidi,60
BMW,X3,2014,103,4,tiptronic,Tbilisi,60
Toyota,Corolla,2020,117,7,manual,Batumi,55
Mercedes,E-Class,2011,57,4,manual,Rustavi,50
Hyundai,Tucson,2014,192,5,manual,Tbilisi,50
Ford,Focus,2013,117,5,auto,Zugdidi,55
Hyundai,Elantra,2013,54,7,auto,Batumi,55
Kia,Rio,2011,124,7,auto,Tbilisi,45
Kia,Sportage,2022,85,7,tiptronic,Kutaisi,45
Mercedes,C200,2021,87,4,auto,Zugdidi,50
Audi,Q5,2016,104,7,tiptronic,Tbilisi,60
Audi,A3,2012,158,7,manual,Kutaisi,50
Mercedes,E-Class,2017,196,7,manual,Zugdidi,60
Hyundai,i30,2022,128,4,auto,Telavi,55
Hyundai,Tucson,2016,81,4,tiptronic,Kutaisi,40
Hyundai,Tucson,2018,157,7,tiptronic,Kutaisi,45
Mercedes,E-Class,2012,178,7,tiptronic,Batumi,55
Toyota,Camry,2015,121,5,tiptronic,Zugdidi,45
BMW,320i,2018,75,7,tiptronic,Kutaisi,55
Kia,Rio,2022,58,5,tiptronic,Tbilisi,45
Toyota,Corolla,2023,86,5,manual,Kutaisi,60
Toyota,Camry,2020,155,4,manual,Kutaisi,55
BMW,X5,2020,148,4,tiptronic,Rustavi,50
Hyundai,i30,2010,85,7,tiptronic,Tbilisi,45
Kia,Rio,2023,117,4,auto,Batumi,50
BMW,X3,2012,66,7,tiptronic,Kutaisi,55
Audi,Q5,2021,158,5,auto,Telavi,40
Mercedes,E-Class,2020,120,5,manual,Tbilisi,50
Mercedes,E-Class,2016,180,4,auto,Tbilisi,40
Hyundai,Elantra,2020,52,7,auto,Tbilisi,45
Hyundai,i30,2023,73,7,tiptronic,Tbilisi,50
Mercedes,GLA,2023,188,4,auto,Batumi,45
Audi,Q5,2021,171,7,tiptronic,Tbilisi,40
Hyundai,Elantra,2016,118,5,manual,Kutaisi,45
Toyota,Yaris,2012,130,4,auto,Kutaisi,40
Audi,Q5,2023,142,4,manual,Zugdidi,50
Toyota,Corolla,2017,185,5,manual,Telavi,55
Ford,Mondeo,2015,65,7,auto,Kutaisi,50
Audi,Q5,2023,98,5,tiptronic,Rustavi,55
Toyota,Corolla,2023,105,4,manual,Rustavi,55
Hyundai,i30,2021,68,4,manual,Batumi,60
Mercedes,GLA,2013,110,5,auto,Telavi,50
Audi,Q5,2011,110,7,manual,Zugdidi,40
Toyota,Corolla,2019,79,4,manual,Kutaisi,55
BMW,X3,2018,65,4,tiptronic,Batumi,50
Ford,Focus,2013,90,7,manual,Kutaisi,55
Toyota,Camry,2017,118,4,auto,Batumi,55
BMW,X5,2016,116,4,tiptronic,Rustavi,40
Mercedes,GLA,2019,145,5,manual,Tbilisi,60
Ford,Escape,2021,138,5,manual,Zugdidi,55
Mercedes,C200,2013,66,7,manual,Telavi,55
Hyundai,Elantra,2016,170,5,manual,Kutaisi,40
Ford,Focus,2015,181,5,auto,Zugdidi,40
Toyota,Corolla,2012,160,4,auto,Kutaisi,45
Mercedes,E-Class,2017,141,5,auto,Batumi,55
Hyundai,Elantra,2023,67,5,tiptronic,Zugdidi,60
Kia,Sportage,2015,84,4,tiptronic,Zugdidi,50
Mercedes,GLA,2019,179,7,auto,Batumi,60
BMW,X5,2021,107,4,auto,Zugdidi,40
Audi,A4,2012,103,4,tiptronic,Telavi,40
Kia,Sportage,2015,124,7,tiptronic,Rustavi,55
Audi,Q5,2015,89,4,auto,Rustavi,40
BMW,320i,2017,91,5,auto,Batumi,60
Ford,Mondeo,2011,88,4,auto,Kutaisi,55
Audi,A4,2015,155,5,manual,Rustavi,55
Toyota,Camry,2021,140,5,manual,Batumi,60
Mercedes,GLA,2022,67,7,auto,Telavi,60
Mercedes,GLA,2011,200,7,auto,Zugdidi,55
Toyota,Camry,2017,163,5,auto,Rustavi,55
Mercedes,C200,2020,50,4,tiptronic,Batumi,60
BMW,X5,2013,146,5,manual,Tbilisi,45
Hyundai,i30,2017,76,5,manual,Kutaisi,60
BMW,X3,2017,163,7,manual,Batumi,40
Mercedes,GLA,2010,62,4,manual,Zugdidi,40
Audi,A3,2022,152,4,tiptronic,Rustavi,50
Kia,Sportage,2021,138,4,manual,Telavi,60
Toyota,Corolla,2019,82,7,tiptronic,Rustavi,45
BMW,X5,2017,92,7,manual,Rustavi,60
Audi,A3,2018,149,5,tiptronic,Tbilisi,50
Hyundai,Elantra,2012,118,5,tiptronic,Telavi,40
Toyota,Camry,2018,127,5,auto,Batumi,50
Kia,Sportage,2022,144,7,tiptronic,Zugdidi,50
BMW,320i,2019,55,5,tiptronic,Tbilisi,50
Ford,Focus,2021,150,7,manual,Rustavi,45
Hyundai,i30,2012,60,7,tiptronic,Tbilisi,60
Mercedes,C200,2015,200,7,tiptronic,Tbilisi,60
Audi,Q5,2019,50,5,manual,Batumi,45
Toyota,Corolla,2014,56,5,manual,Tbilisi,50
BMW,X5,2023,111,7,auto,Kutaisi,50
